Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,RSI,Bollinger Upper Band,Bollinger Lower Band,Daily Return,Cumulative Return,20-Day Volatility,Price Volatility,EMA12,EMA26,MACD,Signal,MACD_Histogram,Daily Returns,Direction,OBV,ROC
2008-07-09,175.85000610351562,177.47000122070312,167.5,169.02000427246094,133.22564697265625,12909300,180.43599914550782,194.58464973449708,174.89999389648438,-5.8799896240234375,-0.033619152825720144,16790500.0,-3881200.0,-0.23115452190226615,36.522310035009156,149.32705127877938,129.63575389700185,-0.03361905021219025,2.5749148528546115,0.02908931676458839,3.3757599275839656,138.12540430281038,139.1374632505606,-1.012058947750205,-0.4151144581018285,-0.5969444896483767,-0.03361905021219025,-1,107063900,-0.08026337082808888
2008-07-10,167.50999450683594,173.3000030517578,166.25,170.16000366210938,134.12425231933594,14106200,179.98559936523438,194.38329978942872,169.02000427246094,1.1399993896484375,0.006744760151649043,12909300.0,1196900.0,0.0927161038940918,32.52762483869627,148.43995376064558,131.13451523349502,0.006744987673913183,2.592282621798492,0.028252466416597975,2.780510648863861,137.50984245919892,138.7661142926921,-1.256271833493173,-0.5833459331800974,-0.6729259003130756,0.006744987673913183,1,121170100,-0.04720305083511944
2008-07-11,166.35000610351562,167.8800048828125,158.5,162.47999572753906,128.07066345214844,24827400,179.4077993774414,194.14119979858398,170.16000366210938,-7.6800079345703125,-0.04513403719607745,14106200.0,10721200.0,0.7600345947172165,29.727636328378892,149.05132121341472,130.18657093746418,-0.04513418537293712,2.4752820574071954,0.029573520258000436,3.96605118996194,136.05766107349885,137.97385867487404,-1.9161976013751882,-0.8499162668191156,-1.0662813345560727,-0.04513418537293712,-1,96342700,-0.10715463489292221
2008-07-14,167.9199981689453,168.0,158.57000732421875,158.6699981689453,125.06757354736328,15944800,178.60019927978516,193.86149978637695,162.47999572753906,-3.80999755859375,-0.023449025472543017,24827400.0,-8882600.0,-0.35777407219443036,30.52401965747987,150.28483477312304,127.40656308454295,-0.02344869483640344,2.417239923809029,0.02490525740589047,5.2670700866611435,134.36687837717028,137.01783755431768,-2.6509591771473993,-1.2101248488847725,-1.4408343282626268,-0.02344869483640344,-1,80397900,-0.1360195837611583
2008-07-15,157.0399932861328,163.61000061035156,152.25,157.8000030517578,124.38182830810547,25593100,177.7507992553711,193.56659980773927,158.6699981689453,-0.8699951171875,-0.0054830473764874155,15944800.0,9648300.0,0.6051063669660328,25.133855383430088,150.78890431850198,124.98789927036522,-0.005482997869132866,2.4039862024576015,0.024093603129561755,6.1155981873797005,132.83071682808338,136.08183686941305,-3.2511200413296706,-1.6183238873737522,-1.6327961539559184,-0.005482997869132866,-1,54804800,-0.10473160121630543
2008-07-16,161.2100067138672,173.27000427246094,159.14999389648438,172.86000061035156,136.25245666503906,19366400,177.26559936523438,193.3471997833252,157.8000030517578,15.05999755859375,0.09543724504019258,25593100.0,-6226700.0,-0.24329604463703103,41.29980557282964,150.43724910343929,124.82090519343569,0.0954369984619372,2.633415429964066,0.033109713656012806,5.985042320927436,133.35713834146117,136.09447537279277,-2.737337031331606,-1.842126516165323,-0.8952105151662828,0.0954369984619372,1,74171200,-0.009738754422653817
2008-07-17,175.6199951171875,184.4499969482422,174.85000610351562,181.24000549316406,142.85775756835938,24819100,176.93819946289062,193.13849983215331,172.86000061035156,8.3800048828125,0.04847856562086972,19366400.0,5452700.0,0.2815546513549241,53.95234508881369,150.2602319086364,124.87733065239877,0.04847839859180425,2.7610791928356715,0.03469482286059258,6.2761914494994695,134.81877206867628,136.59545923913103,-1.7766871704547498,-1.8290386470232085,0.05235147656845873,0.04847839859180425,1,98990300,0.03624935287551856
2008-07-18,183.0800018310547,183.5,178.05999755859375,182.83999633789062,144.11891174316406,11722200,176.79979949951172,192.91259979248048,181.24000549316406,1.5999908447265625,0.008828022490801057,24819100.0,-13096900.0,-0.5276943966541897,56.58190394207607,149.65031554513757,125.16486389822181,0.008828041236760953,2.7854541138079876,0.03435494455137922,6.74055047229115,136.24956278782824,137.15275201720755,-0.9031892293793078,-1.6438687634944285,0.7406795341151207,0.008828041236760953,1,110712500,0.042833482167372816
2008-07-21,184.16000366210938,184.64999389648438,179.0500030517578,180.77999877929688,142.49520874023438,8841300,176.6609994506836,192.67974975585938,182.83999633789062,-2.05999755859375,-0.011266668124335633,11722200.0,-2880900.0,-0.24576444694681887,54.549747983493475,149.27340312193436,125.30609822083906,-0.011266411765745943,2.7540720408072357,0.03423665515177249,7.256555081063897,137.2104313958907,137.54848955224656,-0.33805815635585645,-1.382706642066714,1.0446484857108576,-0.011266411765745943,-1,101871200,0.011130407561340983
2008-07-22,178.4600067138672,188.0399932861328,177.3000030517578,188.0399932861328,148.2176971435547,11268100,176.65999938964845,192.49019973754883,180.77999877929688,7.2599945068359375,0.040159279543414694,8841300.0,2426800.0,0.2744845215070182,58.894338948875976,150.53138982202267,124.79297846411015,0.04015916362319438,2.8646732705240785,0.034711480298169596,8.38595207430555,138.9038568955313,138.3388012256768,0.5650556698545017,-0.993154179682471,1.5582098495369727,0.04015916362319438,1,113139300,0.05114871668457188
